Airline	Year	DelayCounts	CancelledCounts	Arrivals	CarrierDelay	TotalDelay
AirTran Airways Corporation	2003	70.51865672	789	86753	551.4813433	3788.507463
AirTran Airways Corporation	2004	70.25518672	2013	162558	546.6286307	4198.906639
AirTran Airways Corporation	2005	99.02798507	2448	195392	862.0802239	6369.214552
AirTran Airways Corporation	2006	100.8449477	1941	237645	743.4616725	5644.344948
AirTran Airways Corporation	2007	90.63579278	2602	263159	788.389325	4906.050235
AirTran Airways Corporation	2008	86.19494048	2236	261684	660.2797619	4883.831845
AirTran Airways Corporation	2009	82.94736842	1925	251415	715.6315789	4466.103841
AirTran Airways Corporation	2010	51.17402597	2674	248844	515.2987013	2922.507792
AirTran Airways Corporation	2011	46.47763158	2790	248703	454.9855263	2618.555263
AirTran Airways Corporation	2012	40.05343511	1511	218162	444.470229	2076.001527
AirTran Airways Corporation	2013	68.53614458	1326	173952	782.0100402	3597.289157
AirTran Airways Corporation	2014	33.795	1516	79495	417.1825	1696.53
Alaska Airlines Inc.	2003	56.553125	1876	98735	929.925	2610.1875
Alaska Airlines Inc.	2004	64.43669725	3670	166992	1216.011009	3246.269725
Alaska Airlines Inc.	2005	82.13944954	2630	158100	1811.550459	4350.500917
Alaska Airlines Inc.	2006	72.26047359	2430	159404	1203.083789	3603.338798
Alaska Airlines Inc.	2007	75.83977901	2563	160185	1329.672192	3880.674033
Alaska Airlines Inc.	2008	54.89090909	2139	151102	876.06	2740.350909
Alaska Airlines Inc.	2009	37.72884283	1184	137322	549.6442142	1733.846287
Alaska Airlines Inc.	2010	26.39101498	797	136950	398.6589018	1233.494176
Alaska Airlines Inc.	2011	25.64039409	966	143726	430.6847291	1258.958949
Alaska Airlines Inc.	2012	26.5911252	1197	147569	445.1077655	1382.594295
Alaska Airlines Inc.	2013	28.74006116	704	154743	392.412844	1297.359327
Alaska Airlines Inc.	2014	30.71010249	759	160257	423.238653	1448.742313
Alaska Airlines Inc.	2015	30.69230769	177	25451	468.7264957	1617.213675
Aloha Airlines Inc.	2006	28.16161616	745	35387	589.7272727	1080.262626
Aloha Airlines Inc.	2007	24.18181818	388	46360	589.4848485	1058.30303
Aloha Airlines Inc.	2008	17.90909091	42	7800	396.6818182	717.2272727
America West Airlines Inc.	2003	49.59217877	870	109370	1014.393855	2262.888268
America West Airlines Inc.	2004	72.27986907	3108	195939	1200.472995	3169.823241
America West Airlines Inc.	2005	56.43442623	2487	197853	988.2065574	2520.111475
American Airlines Inc.	2003	135.5820896	6420	434707	2040.898839	7410.878939
American Airlines Inc.	2004	147.2664016	12402	698548	2089	8734.994036
American Airlines Inc.	2005	144.8234704	9752	673569	2093.17653	8147.410231
American Airlines Inc.	2006	150.375	10127	643597	2241.457645	8856.628099
American Airlines Inc.	2007	189.2975558	17924	633857	2869.606801	11551.24548
American Airlines Inc.	2008	174.9184549	17440	604885	3021.313704	10245.26445
American Airlines Inc.	2009	124.6909684	9248	551597	2484.542982	7395.337323
American Airlines Inc.	2010	107.0280778	9146	540963	2152.323974	6010.786177
American Airlines Inc.	2011	109.5658588	13527	538179	2248.283456	6238.716544
American Airlines Inc.	2012	114.0873181	9569	525220	2224.953222	6448.914761
American Airlines Inc.	2013	111.6564103	9749	537891	1977.091282	6518.695385
American Airlines Inc.	2014	120.111334	8457	537697	2202.873621	7152.735206
American Airlines Inc.	2015	108.4099379	3454	83894	2299.012422	6566.223602
American Eagle Airlines Inc.	2003	72.43970588	7329	252913	974.9955882	3750.032353
American Eagle Airlines Inc.	2004	87.55914826	17787	483088	1187.597792	4785.76735
American Eagle Airlines Inc.	2005	86.25356577	16746	532032	1204.981775	4602.046751
American Eagle Airlines Inc.	2006	98.48946986	19990	550088	1336.992012	5539.564996
American Eagle Airlines Inc.	2007	102.4924515	22792	540494	1443.350827	6117.500359
American Eagle Airlines Inc.	2008	83.45961821	18331	490693	1252.034508	4901.758443
American Eagle Airlines Inc.	2009	64.33431517	11119	437009	982.1789396	3566.013255
American Eagle Airlines Inc.	2010	58.12941961	12075	436976	927.1654436	3186.950634
American Eagle Airlines Inc.	2011	54.28019925	17658	448178	931.3013699	3089.710461
American Eagle Airlines Inc.	2012	45.93183201	10373	473140	882.4680463	2729.366403
American Eagle Airlines Inc.	2013	67.89429853	15701	439865	1099.682896	4212.850737
American Eagle Airlines Inc.	2014	63.08564232	8358	99989	982.7380353	3886.284635
ATA Airlines d/b/a ATA	2003	37.3622449	410	42219	455.7959184	2197.382653
ATA Airlines d/b/a ATA	2004	45.20560748	717	75533	479.2305296	2480.283489
ATA Airlines d/b/a ATA	2005	32.26359833	508	44109	356.7740586	1867.125523
ATA Airlines d/b/a ATA	2006	35.51234568	227	19602	475.7160494	2284.259259
Atlantic Coast Airlines	2003	56.20034542	4991	169236	1001.022453	3197.350604
Atlantic Coast Airlines	2004	69.04747774	6969	205011	718.7077151	4528.047478
Atlantic Southeast Airlines	2003	49.25764192	3107	156536	835.2634643	2339.481805
Atlantic Southeast Airlines	2004	47.42763696	7542	278861	779.3066231	2419.852821
Atlantic Southeast Airlines	2005	52.28219564	13900	304647	1123.847291	2911.711471
Atlantic Southeast Airlines	2006	51.57504521	6783	273143	1174.38698	2840.377939
Atlantic Southeast Airlines	2007	55.85749235	8920	286234	1732.255657	3456.48318
Atlantic Southeast Airlines	2008	45.55646817	5026	280575	1156.036277	2764.474333
Atlantic Southeast Airlines	2009	61.5241433	6175	299000	879.9820872	3613.352025
Atlantic Southeast Airlines	2010	43.21349148	7517	319921	982.1822222	2874.752593
Atlantic Southeast Airlines	2011	49.56497568	9415	327845	1242.740097	3303.084781
Comair Inc.	2004	53.48181818	13616	373346	1154.196212	2727.69697
Comair Inc.	2005	48.6217656	11370	381337	1006.472603	2423.145358
Comair Inc.	2006	53.51512674	6875	278099	1145.536386	2808.686836
Comair Inc.	2007	60.64507299	8912	236032	1288.103102	3359.117701
Comair Inc.	2008	52.11706349	6462	197607	1067.228175	2981.193452
Comair Inc.	2009	51.13686806	5156	151774	951.2068966	2904.426108
Comair Inc.	2010	36.95399781	5645	147633	993.5207877	2082.750547
Continental Air Lines Inc.	2003	58.32508834	1228	177431	513.0159011	3139.750883
Continental Air Lines Inc.	2004	64.660619	1898	299329	633.6478122	3499.935966
Continental Air Lines Inc.	2005	72.76174497	2739	296661	780.4910515	3989.82774
Continental Air Lines Inc.	2006	93.12763466	1649	309389	1028.117096	5341.503513
Continental Air Lines Inc.	2007	91.96736597	2951	323151	1056.213287	5591.009324
Continental Air Lines Inc.	2008	95.86220472	3702	298455	1307.2979	5747.446194
Continental Air Lines Inc.	2009	76.27062229	1357	258159	1017.112717	4234.848266
Continental Air Lines Inc.	2010	63.42272727	1986	239271	938.3833333	3146.318182
Continental Air Lines Inc.	2011	76.6122449	2885	245318	1159.501458	3835.556851
Delta Air Lines Inc.	2003	92.9877551	3474	386319	1111.389116	4131.817687
Delta Air Lines Inc.	2004	126.1976744	10717	687638	1555.688538	5947.188538
Delta Air Lines Inc.	2005	109.6784	17731	658302	1496.8448	5717.2816
Delta Air Lines Inc.	2006	93.40504202	7695	506086	1311.642857	4594.072269
Delta Air Lines Inc.	2007	87.74978578	6521	475889	1311.128535	4435.747215
Delta Air Lines Inc.	2008	86.2478185	6813	451931	1231.431065	4472.130017
Delta Air Lines Inc.	2009	80.02607076	4790	428007	1108.224395	4104.569832
Delta Air Lines Inc.	2010	111.1793155	14857	732973	2163.602974	6093.088476
Delta Air Lines Inc.	2011	83.30345801	10188	732331	1544.277347	4502.175723
Delta Air Lines Inc.	2012	61.47615894	3713	726879	1301.580132	3401.855629
Delta Air Lines Inc.	2013	71.34741488	2435	754670	1697.081967	4183.182219
Delta Air Lines Inc.	2014	74.64290067	6502	800375	1641.763559	4244.746496
Delta Air Lines Inc.	2015	67.94501718	2374	125305	1486.175258	4159.453608
Endeavor Air Inc.	2013	30.43085106	1691	119950	633.7464539	1704.891844
Envoy Air	2014	66.50220653	12798	292712	917.227714	3627.555163
Envoy Air	2015	74.2704918	6175	56840	1098.885246	4767.668033
ExpressJet Airlines Inc.	2003	52.71759891	3625	199362	421.308322	2632.553888
